row_idx,topic_id,topic_prob,place_name,rating,review_text,publish_time
0,8.0,0.7749682664871216,bp,5,The bp pulse electric charging service is the best in Portugal.,2025-09-27T16:58:47.550011018Z
1,3.0,0.3508504331111908,bp,1,"Normal rated fuel sold under a premium brand, that gives you no benefits. Want your car to work fine do the schedule maintenance in time or within the kms.
Plenty of cheaper fuel stations that sell certified fuel. Waste of money on placebo premium fuel. Anyone saying other wise is either being paid or just a bad mechanic",2020-01-24T03:27:20.917107Z
2,9.0,0.5527580976486206,bp,4,They sell fossil fuels and candy. Nice staff though.,2018-11-16T19:36:19.115422Z
3,5.0,0.5657542943954468,bp,4,"GPL a bit expensive, but at least it's always open",2019-03-29T18:59:22.923429Z
4,8.0,0.501636803150177,Café BP Maia,5,"Very friendly host.
He didn't speak English, but we were able to communicate with him using gestures.
Nice little café.",2022-09-21T08:28:41.145227Z
5,9.0,0.6999379992485046,Café BP Maia,4,Great service.,2025-01-03T00:10:54.199225Z
6,3.0,0.43478864431381226,Melatte Cafe,5,"It's a very nice cafe with excellent service 👌 the staff are wonderful, I recommend it without hesitation.",2021-11-14T00:19:45.836056Z
7,5.0,0.5045831799507141,Brigs,5,"Great authentic places to have a wonderful time. We took Capuccino and double espresso long shot, chicken and cheese Coxinha de frango. It worth to try. There is a great advantage of the place if you are visiting the city with kind. There is perfectly protected kids playground just next to the cafe, so you can enjoy your coffee time and let your kids to enjoy themselves, too.",2022-06-27T12:03:25.251276Z
8,2.0,0.8764002919197083,Brigs,5,"So happy that we found this place for an afternoon coffee break. First of all, it'd hard to find cafes offering soymilk in Portugal so I'm glad Brigs offers it. Friendly service, great coffee and unique sweets! We tried their version of ovos moles and another one filled with caramel textured. Both good! And good value. Highly recommend!",2019-07-01T21:28:10.221546Z
9,1.0,0.5883760452270508,Brigs,5,"Very cozy and pleasant place with inspiring view and convenient for children. It offers nice coffee delicacies, petiscos, brigadeiros, pastéis and many other sweet and solty delights!",2017-11-01T12:03:42.131Z
10,2.0,0.7220417261123657,Brigs,5,"Nice little shop right by the Forum. Staff was super nice and helpful with suggestions. You must try the hot chocolate, so thick you can eat it with a spoon and absolutely delicious!",2019-07-31T18:33:11.115330Z
11,9.0,0.6822519898414612,Brigs,5,Great outdoor seating. Great service. A good place to sit down and relax if you need a break.,2023-11-23T20:45:24.330052Z
12,2.0,0.5117985010147095,CTT Correios,4,"Very attentive and friendly staff, although a little slow. They are very helpful..! The place is a little dark and with only 3 seats to wait. The seats are very low for an elderly, disabled and/or pregnant person. I don't know how easily a person in a wheelchair could move around the premises.",2019-01-04T11:56:10.877374731Z
