row_idx,topic_id,topic_prob,place_name,rating,review_text,publish_time
0,1.0,0.5814894437789917,bp,5,The bp pulse electric charging service is the best in Portugal.,2025-09-27T16:58:47.550011018Z
1,3.0,0.45989957451820374,bp,1,"Normal rated fuel sold under a premium brand, that gives you no benefits. Want your car to work fine do the schedule maintenance in time or within the kms.
Plenty of cheaper fuel stations that sell certified fuel. Waste of money on placebo premium fuel. Anyone saying other wise is either being paid or just a bad mechanic",2020-01-24T03:27:20.917107Z
2,2.0,0.8293737769126892,bp,4,They sell fossil fuels and candy. Nice staff though.,2018-11-16T19:36:19.115422Z
3,1.0,0.4684707224369049,bp,4,"GPL a bit expensive, but at least it's always open",2019-03-29T18:59:22.923429Z
4,2.0,0.3947487771511078,Café BP Maia,5,"Very friendly host.
He didn't speak English, but we were able to communicate with him using gestures.
Nice little café.",2022-09-21T08:28:41.145227Z
5,0.0,0.729328989982605,Café BP Maia,4,Great service.,2025-01-03T00:10:54.199225Z
6,0.0,0.9074324369430542,Melatte Cafe,5,"It's a very nice cafe with excellent service 👌 the staff are wonderful, I recommend it without hesitation.",2021-11-14T00:19:45.836056Z
7,0.0,0.42318832874298096,Brigs,5,"Great authentic places to have a wonderful time. We took Capuccino and double espresso long shot, chicken and cheese Coxinha de frango. It worth to try. There is a great advantage of the place if you are visiting the city with kind. There is perfectly protected kids playground just next to the cafe, so you can enjoy your coffee time and let your kids to enjoy themselves, too.",2022-06-27T12:03:25.251276Z
8,2.0,0.6629559397697449,Brigs,5,"So happy that we found this place for an afternoon coffee break. First of all, it'd hard to find cafes offering soymilk in Portugal so I'm glad Brigs offers it. Friendly service, great coffee and unique sweets! We tried their version of ovos moles and another one filled with caramel textured. Both good! And good value. Highly recommend!",2019-07-01T21:28:10.221546Z
9,4.0,0.547011137008667,Brigs,5,"Very cozy and pleasant place with inspiring view and convenient for children. It offers nice coffee delicacies, petiscos, brigadeiros, pastéis and many other sweet and solty delights!",2017-11-01T12:03:42.131Z
10,2.0,0.6604105830192566,Brigs,5,"Nice little shop right by the Forum. Staff was super nice and helpful with suggestions. You must try the hot chocolate, so thick you can eat it with a spoon and absolutely delicious!",2019-07-31T18:33:11.115330Z
11,2.0,0.569460391998291,Brigs,5,Great outdoor seating. Great service. A good place to sit down and relax if you need a break.,2023-11-23T20:45:24.330052Z
12,2.0,0.5937498807907104,CTT Correios,4,"Very attentive and friendly staff, although a little slow. They are very helpful..! The place is a little dark and with only 3 seats to wait. The seats are very low for an elderly, disabled and/or pregnant person. I don't know how easily a person in a wheelchair could move around the premises.",2019-01-04T11:56:10.877374731Z
13,3.0,0.38782984018325806,CTT Correios,1,"Terrible customer service, unpleasant treatment. They make any business in this center tedious.",2025-04-03T14:50:38.008702Z
14,3.0,0.9489001631736755,bp,1,At night i am going bp and i am waiting 10 minutes front billing services but lady not come and after that  i ring the bell for please come but young lady very disrespectful and       Rudely speak with me she work night shift 👎🏻,2024-05-22T23:47:25.169506Z
15,2.0,0.6318492889404297,Porta 36,5,"It is in the center and the right next to my hotel , the waiter was very nice and welcoming , the food did not take long and it was really nice .
The octopus salad was really good , and the shrimp was delicious as well , the only comment i have is that the shrimp was not deveined and i had to clean it. But otherwise , satisfied with the service and the quality. Would visit again.",2025-10-23T21:24:09.473562163Z
16,2.0,0.6387633085250854,Porta 36,5,Possibly the best steak with cream mushroom sauce I have ever had. Service was exceptional. Great location. My friends had the vegetaruan pasta and the seafood mix with shrimp. They all raved about the experience.,2025-08-30T13:26:17.427979522Z
17,2.0,0.33409634232521057,Porta 36,4,"While passing through Aveiro, we thought we'd grab something to eat. After a short walk through the city streets, we found this restaurant where we decided to stop for a bite to eat.We didn't have high expectations but we were pleasantly surprised ordering something basic from their menu of the day. Overall it was very tasty and cheap, worth trying if you're in a hurry and you don't have enough time to explore the city in search of the perfect restaurant",2024-12-19T22:45:47.015261Z
18,2.0,0.5838801860809326,Porta 36,2,"Food was not good. Stale chips, beef very undercooked(asked for medium rare got barely rare)

Waitress and waiter were very nice but very understaffed and took a long time.

Very overpriced when comparing quality of food and drinks to similar restaurants in the city.

Postive note: cool patio and had heaters for a chillier than usual night.",2025-09-24T21:41:20.272741814Z
19,2.0,0.7083149552345276,Porta 36,5,"We had lunch here and chose the daily special.  I had the cod casserole-type dish, cod with cream, and my husband had the duck rice.  Both meals were delicious and the special included bread, two glasses of wine.  We also ordered dessert and my husband had an espresso.  All included it was less than €30.  Great deal!  Service was friendly and efficient.  Highly recommend!",2022-09-27T19:58:24.188009Z
20,0.0,0.7400029301643372,Ostras da Praça,5,"Everything was so delicious and fresh. Im not the biggest fan of mussels, but id eat this one again no problem. I already miss the food.",2025-11-04T22:20:59.579030957Z
21,2.0,0.8711620569229126,Ostras da Praça,5,Very good place to eat fresh sea food ! Ver good service and a pretty nice quality price. Good wine. Card payment was not possible the day we were there.,2025-10-22T14:46:54.423908639Z
22,2.0,0.7861735224723816,Ostras da Praça,3,"The Croquette de carne was so hard to eat, way too expensive for something local. they fried it way too long. It didn‘t taste good, i had to flush it with the San Miguel beer.",2025-05-16T14:26:36.695397Z
23,3.0,0.4695444107055664,Ostras da Praça,2,"We stopped here for the oysters.
Food (mussels and oysters) were very good and fresh.
Service, one of the worse ever met.
We waited 50 minutes to have 3 oysters (and 35 for the mussels), we repeated 3 times that we were waiting for the oysters and after ""yes yes, immediately ""and 50 minutes, we had them (very good and fresh). Moreover, when we asked the bill they brought the wrong table, and then at the end they told that is ONLY CASH, no credit card. So pay attention Especially for the bad bad service.",2025-08-09T14:10:36.118401246Z
24,0.0,0.7980710864067078,Ostras da Praça,5,The oysters and clams were very delicious!,2025-10-24T15:48:42.064894950Z
25,3.0,0.5893993973731995,"Salicornia - Comer, Beber & Viver",5,We stopped here for a quick bite to eat on the patio after our moliceiro boat tour. We got the ham and cheese sandwich and it was exactly what we needed to finish our quick day trip here in aveiro. Thank you,2025-09-25T13:35:08.853087521Z
26,2.0,0.4663456082344055,"Salicornia - Comer, Beber & Viver",5,We had an amazing time! Pedro was so kind and let us take our time asking questions about the drinks and food. We had a delicious cheese and meat board and enjoyed our refreshing drinks! Pedro is passionate about what he does and gave us personal recommendations!,2025-07-21T13:10:42.111156466Z
27,2.0,0.47788044810295105,"Salicornia - Comer, Beber & Viver",5,We had a great time at Salicornia! The bartenders were amazing and accommodating of our group. The drinks tasted great the accommodations had the perfect atmosphere for enjoying beer and drinks in the afternoon/evening.,2025-04-12T18:24:01.306068Z
28,2.0,0.6067980527877808,"Salicornia - Comer, Beber & Viver",5,Great place with friendly bartenders. We came as a large group and they were accomodating. Only took cash while we were there. Stayed there for a bit and they gave us a shot free of charge.,2025-04-12T18:27:24.938200Z
29,3.0,0.3724108040332794,"Salicornia - Comer, Beber & Viver",5,"Absolute must if you are in Aveiro!
We came to try the local seaweed beer but we're out of season, instead got to try the local seaweed raw, learnt more about the town than any tour guide could tell us and we're in the most wonderful setting! An absolute must tavern! Staff were brilliant, thank you for hosting us",2024-06-12T19:16:19.992277Z
30,3.0,0.46977317333221436,O Tripas,2,"The waitresses were really weird. When we sat down they told us to stand up so they can prep the table. After 10 minutes we said that instead of 22 people tables we actually want 12 people and they said that they close now (we were not informed beforehand, it was 15:30 and it supposedly closed at 15:30 but it was full) and they prepped the table just for us and they are making an exception. Anyway we all sat down (22ppl) since we did not have time to go somewhere else. I was in a table of 7 and we had ordered a salad and since we had ordered 7 dishes (including a salad) they thought we were done and almost left. They also said that their steak is like a happy meal (???). Most of the waiters did not know English so it was hard to communicate.",2024-08-16T15:10:40.639630Z
31,3.0,0.43757912516593933,O Tripas,1,Group of four waiting almost 20 minutes for tables to be cleared after a waiter told us his „friend“ would do it. We sat down and all waiters ignored us. After we got up the table got cleaned almost instantly. Seems they don’t want to make money.,2023-06-10T13:23:21.761034Z
32,3.0,0.5316780805587769,O Tripas,1,"During covid.... don’t even think about it! If you’re not a Portuguese citizen (1) and don’t have a vaccine certificate done in Portugal (2) they WILL NOT accept you eating at their restaurant. Their customer service was appalling. You try have a reasonable conversation about how your antigen test is valid and they walk away from the conversation then come after you, calling you mad! Glad we did not contribute to their soon-to-fail business! If I could give negative stars I would.",2021-08-15T12:50:37.693001Z
33,0.0,0.5899419188499451,O Tripas,2,"Meat undercooked, and a funnily tasting fish soup.. Chips were Home made though.",2018-09-19T22:02:51.870191Z
34,0.0,0.5516396760940552,Garden Hostel,5,I simply loved it. Best value for money I found in Aveiro.,2025-07-13T15:31:19.697171341Z
35,4.0,0.49671676754951477,Garden Hostel,1,"It's a forty minutes walk away (3km) from Aveiro, everything stinks and smell like humidity. If you want to feel like a chicken in a box, well that's the right place for you. No hot water anywhere and you have to take your hygeinic paper everywhere because there is none in the bathroom. Leaving this place and I'm relieved. The beds are comfortable i guess and the people are nice. At least, it was not expensive...",2023-05-21T18:55:05.704969Z
36,3.0,0.42422494292259216,Garden Hostel,2,"I give him two stars for the backyard and the good attitude of the employees of the place, but they are the worst three nights of my life in a hostel, the notice put a separate room, and as an independent it had nothing, apart from the fact that it looks like a cage for chickens, the walls are made of wood and only 1.80 meters high, and to complete they have rented a group of boys who do not know the word respect, at one in the morning talking on the phone, listening to videos, hitting things, breaking bags made of plastic, eating their soup and other foods with very strong smells in a space designed to sleep, and above all you ask them to please respect and care nothing what you say.  Definitely the worst thing that ever happened to me.",2021-08-12T23:21:10.035467Z
37,2.0,0.7339561581611633,Garden Hostel,4,"Fairly ok for overnight stay, in low price!!  The atmosphere inside feels very good to me!  I think you will like it too!",2023-08-19T01:33:20.314940Z
